common.name,scientific.name,class,genus,family
Obi Cicadabird,Edolisoma obiense,Aves,Edolisoma,Campephagidae
Sula Cicadabird,Edolisoma sula,Aves,Edolisoma,Campephagidae
North Moluccan Cicadabird,Edolisoma grayi,Aves,Edolisoma,Campephagidae
Papuan Cicadabird,Edolisoma incertum,Aves,Edolisoma,Campephagidae
Bismarck Cicadabird,Edolisoma remotum,Aves,Edolisoma,Campephagidae
Rossel Cicadabird,Edolisoma rostratum,Aves,Edolisoma,Campephagidae
South Moluccan Cicadabird,Edolisoma amboinense,Aves,Edolisoma,Campephagidae
Sahul Cicadabird,Edolisoma tenuirostre,Aves,Edolisoma,Campephagidae
Whitehead,Mohoua albicilla,Aves,Mohoua,Mohouidae
Yellowhead,Mohoua ochrocephala,Aves,Mohoua,Mohouidae
Pipipi,Mohoua novaeseelandiae,Aves,Mohoua,Mohouidae
Black Sittella,Daphoenositta miranda,Aves,Daphoenositta,Neosittidae
Papuan Sittella,Daphoenositta papuensis,Aves,Daphoenositta,Neosittidae
Varied Sittella,Daphoenositta chrysoptera,Aves,Daphoenositta,Neosittidae
Papuan Whipbird,Androphobus viridis,Aves,Androphobus,Psophodidae
Eastern Whipbird,Psophodes olivaceus,Aves,Psophodes,Psophodidae
Western Whipbird,Psophodes nigrogularis,Aves,Psophodes,Psophodidae
Chiming Wedgebill,Psophodes occidentalis,Aves,Psophodes,Psophodidae
Chirruping Wedgebill,Psophodes cristatus,Aves,Psophodes,Psophodidae
Wattled Ploughbill,Eulacestoma nigropectus,Aves,Eulacestoma,Eulacestomatidae
Crested Bellbird,Oreoica gutturalis,Aves,Oreoica,Oreoicidae
Rufous-naped Bellbird,Aleadryas rufinucha,Aves,Aleadryas,Oreoicidae
Piping Bellbird,Ornorectes cristatus,Aves,Ornorectes,Oreoicidae
Eastern Shrike-tit,Falcunculus frontatus,Aves,Falcunculus,Falcunculidae
Western Shrike-tit,Falcunculus leucogaster,Aves,Falcunculus,Falcunculidae
Northern Shrike-tit,Falcunculus whitei,Aves,Falcunculus,Falcunculidae
Tit Berrypecker,Oreocharis arfaki,Aves,Oreocharis,Paramythiidae
Western Crested Berrypecker,Paramythia olivacea,Aves,Paramythia,Paramythiidae
Eastern Crested Berrypecker,Paramythia montium,Aves,Paramythia,Paramythiidae
Black-headed Shrike-Babbler,Pteruthius rufiventer,Aves,Pteruthius,Vireonidae
Pied Shrike-Babbler,Pteruthius flaviscapis,Aves,Pteruthius,Vireonidae
White-browed Shrike-Babbler,Pteruthius aeralatus,Aves,Pteruthius,Vireonidae
Green Shrike-Babbler,Pteruthius xanthochlorus,Aves,Pteruthius,Vireonidae
Black-eared Shrike-Babbler,Pteruthius melanotis,Aves,Pteruthius,Vireonidae
Trilling Shrike-Babbler,Pteruthius aenobarbus,Aves,Pteruthius,Vireonidae
Clicking Shrike-Babbler,Pteruthius intermedius,Aves,Pteruthius,Vireonidae
White-bellied Erpornis,Erpornis zantholeuca,Aves,Erpornis,Vireonidae
Rufous-browed Peppershrike,Cyclarhis gujanensis,Aves,Cyclarhis,Vireonidae
Black-billed Peppershrike,Cyclarhis nigrirostris,Aves,Cyclarhis,Vireonidae
Grey-eyed Greenlet,Hylophilus amaurocephalus,Aves,Hylophilus,Vireonidae
Rufous-crowned Greenlet,Hylophilus poicilotis,Aves,Hylophilus,Vireonidae
Olivaceous Greenlet,Hylophilus olivaceus,Aves,Hylophilus,Vireonidae
Ashy-headed Greenlet,Hylophilus pectoralis,Aves,Hylophilus,Vireonidae
Scrub Greenlet,Hylophilus flavipes,Aves,Hylophilus,Vireonidae
Grey-chested Greenlet,Hylophilus semicinereus,Aves,Hylophilus,Vireonidae
Brown-headed Greenlet,Hylophilus brunneiceps,Aves,Hylophilus,Vireonidae
Lemon-chested Greenlet,Hylophilus thoracicus,Aves,Hylophilus,Vireonidae
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys,Aves,Vireolanius,Vireonidae
Green Shrike-Vireo,Vireolanius pulchellus,Aves,Vireolanius,Vireonidae
Yellow-browed Shrike-Vireo,Vireolanius eximius,Aves,Vireolanius,Vireonidae
Slaty-capped Shrike-Vireo,Vireolanius leucotis,Aves,Vireolanius,Vireonidae
Tawny-crowned Greenlet,Tunchiornis ochraceiceps,Aves,Tunchiornis,Vireonidae
Lesser Greenlet,Pachysylvia decurtata,Aves,Pachysylvia,Vireonidae
Dusky-capped Greenlet,Pachysylvia hypoxantha,Aves,Pachysylvia,Vireonidae
Buff-cheeked Greenlet,Pachysylvia muscicapina,Aves,Pachysylvia,Vireonidae
Golden-fronted Greenlet,Pachysylvia aurantiifrons,Aves,Pachysylvia,Vireonidae
Rufous-naped Greenlet,Pachysylvia semibrunnea,Aves,Pachysylvia,Vireonidae
Golden Vireo,Vireo hypochryseus,Aves,Vireo,Vireonidae
Blue Mountain Vireo,Vireo osburni,Aves,Vireo,Vireonidae
Slaty Vireo,Vireo brevipennis,Aves,Vireo,Vireonidae
Black-capped Vireo,Vireo atricapilla,Aves,Vireo,Vireonidae
Dwarf Vireo,Vireo nelsoni,Aves,Vireo,Vireonidae
White-eyed Vireo,Vireo griseus,Aves,Vireo,Vireonidae
Thick-billed Vireo,Vireo crassirostris,Aves,Vireo,Vireonidae
Mangrove Vireo,Vireo pallens,Aves,Vireo,Vireonidae
Cozumel Vireo,Vireo bairdi,Aves,Vireo,Vireonidae
San Andres Vireo,Vireo caribaeus,Aves,Vireo,Vireonidae
Jamaican Vireo,Vireo modestus,Aves,Vireo,Vireonidae
Cuban Vireo,Vireo gundlachii,Aves,Vireo,Vireonidae
Puerto Rican Vireo,Vireo latimeri,Aves,Vireo,Vireonidae
Flat-billed Vireo,Vireo nanus,Aves,Vireo,Vireonidae
Bell's Vireo,Vireo bellii,Aves,Vireo,Vireonidae
Grey Vireo,Vireo vicinior,Aves,Vireo,Vireonidae
Hutton's Vireo,Vireo huttoni,Aves,Vireo,Vireonidae
Yellow-throated Vireo,Vireo flavifrons,Aves,Vireo,Vireonidae
Yellow-winged Vireo,Vireo carmioli,Aves,Vireo,Vireonidae
Choco Vireo,Vireo masteri,Aves,Vireo,Vireonidae
Cassin's Vireo,Vireo cassinii,Aves,Vireo,Vireonidae
Blue-headed Vireo,Vireo solitarius,Aves,Vireo,Vireonidae
Plumbeous Vireo,Vireo plumbeus,Aves,Vireo,Vireonidae
Tepui Vireo,Vireo sclateri,Aves,Vireo,Vireonidae
Philadelphia Vireo,Vireo philadelphicus,Aves,Vireo,Vireonidae
Warbling Vireo,Vireo gilvus,Aves,Vireo,Vireonidae
Brown-capped Vireo,Vireo leucophrys,Aves,Vireo,Vireonidae
Red-eyed Vireo,Vireo olivaceus,Aves,Vireo,Vireonidae
Chivi Vireo,Vireo chivi,Aves,Vireo,Vireonidae
Noronha Vireo,Vireo gracilirostris,Aves,Vireo,Vireonidae
Yellow-green Vireo,Vireo flavoviridis,Aves,Vireo,Vireonidae
Black-whiskered Vireo,Vireo altiloquus,Aves,Vireo,Vireonidae
Yucatan Vireo,Vireo magister,Aves,Vireo,Vireonidae
Rusty Pitohui,Pseudorectes ferrugineus,Aves,Pseudorectes,Pachycephalidae
White-bellied Pitohui,Pseudorectes incertus,Aves,Pseudorectes,Pachycephalidae
Sandstone Shrikethrush,Colluricincla woodwardi,Aves,Colluricincla,Pachycephalidae
Bower's Shrikethrush,Colluricincla boweri,Aves,Colluricincla,Pachycephalidae
Grey Shrikethrush,Colluricincla harmonica,Aves,Colluricincla,Pachycephalidae
Sooty Shrikethrush,Colluricincla tenebrosa,Aves,Colluricincla,Pachycephalidae
Variable Shrikethrush,Colluricincla fortis,Aves,Colluricincla,Pachycephalidae
Waigeo Shrikethrush,Colluricincla affinis,Aves,Colluricincla,Pachycephalidae
Mamberamo Shrikethrush,Colluricincla obscura,Aves,Colluricincla,Pachycephalidae
Sepik-Ramu Shrikethrush,Colluricincla tappenbecki,Aves,Colluricincla,Pachycephalidae
Arafura Shrikethrush,Colluricincla megarhyncha,Aves,Colluricincla,Pachycephalidae
Tagula Shrikethrush,Colluricincla discolor,Aves,Colluricincla,Pachycephalidae
Rufous Shrikethrush,Colluricincla rufogaster,Aves,Colluricincla,Pachycephalidae
Black Pitohui,Melanorectes nigrescens,Aves,Melanorectes,Pachycephalidae
Sangihe Whistler,Coracornis sanghirensis,Aves,Coracornis,Pachycephalidae
Maroon-backed Whistler,Coracornis raveni,Aves,Coracornis,Pachycephalidae
Olive Whistler,Pachycephala olivacea,Aves,Pachycephala,Pachycephalidae
Red-lored Whistler,Pachycephala rufogularis,Aves,Pachycephala,Pachycephalidae
Gilbert's Whistler,Pachycephala inornata,Aves,Pachycephala,Pachycephalidae
Bare-throated Whistler,Pachycephala nudigula,Aves,Pachycephala,Pachycephalidae
Fawn-breasted Whistler,Pachycephala orpheus,Aves,Pachycephala,Pachycephalidae
Regent Whistler,Pachycephala schlegelii,Aves,Pachycephala,Pachycephalidae
Vanuatu Whistler,Pachycephala chlorura,Aves,Pachycephala,Pachycephalidae
Vogelkop Whistler,Pachycephala meyeri,Aves,Pachycephala,Pachycephalidae
Sclater's Whistler,Pachycephala soror,Aves,Pachycephala,Pachycephalidae
White-throated Fiji Whistler,Pachycephala vitiensis,Aves,Pachycephala,Pachycephalidae
Yellow-throated Fiji Whistler,Pachycephala graeffii,Aves,Pachycephala,Pachycephalidae
Samoan Whistler,Pachycephala flavifrons,Aves,Pachycephala,Pachycephalidae
Tongan Whistler,Pachycephala jacquinoti,Aves,Pachycephala,Pachycephalidae
New Caledonian Whistler,Pachycephala caledonica,Aves,Pachycephala,Pachycephalidae
Guadalcanal Hooded Whistler,Pachycephala implicata,Aves,Pachycephala,Pachycephalidae
Bougainville Hooded Whistler,Pachycephala richardsi,Aves,Pachycephala,Pachycephalidae
Bismarck Whistler,Pachycephala citreogaster,Aves,Pachycephala,Pachycephalidae
Louisiade Whistler,Pachycephala collaris,Aves,Pachycephala,Pachycephalidae
Nendo Whistler,Pachycephala ornata,Aves,Pachycephala,Pachycephalidae
Utupua Whistler,Pachycephala utupuae,Aves,Pachycephala,Pachycephalidae
Vanikoro Whistler,Pachycephala vanikorensis,Aves,Pachycephala,Pachycephalidae
Oriole Whistler,Pachycephala orioloides,Aves,Pachycephala,Pachycephalidae
Rennell Whistler,Pachycephala feminina,Aves,Pachycephala,Pachycephalidae
Tenggara Whistler,Pachycephala calliope,Aves,Pachycephala,Pachycephalidae
Selayar Whistler,Pachycephala teysmanni,Aves,Pachycephala,Pachycephalidae
Moluccan Whistler,Pachycephala macrorhyncha,Aves,Pachycephala,Pachycephalidae
Babar Whistler,Pachycephala sharpei,Aves,Pachycephala,Pachycephalidae
Black-chinned Whistler,Pachycephala mentalis,Aves,Pachycephala,Pachycephalidae
Baliem Whistler,Pachycephala balim,Aves,Pachycephala,Pachycephalidae
Golden Whistler,Pachycephala pectoralis,Aves,Pachycephala,Pachycephalidae
Black-tailed Whistler,Pachycephala melanura,Aves,Pachycephala,Pachycephalidae
Morningbird,Pachycephala tenebrosa,Aves,Pachycephala,Pachycephalidae
Brown-backed Whistler,Pachycephala modesta,Aves,Pachycephala,Pachycephalidae
Lorentz's Whistler,Pachycephala lorentzi,Aves,Pachycephala,Pachycephalidae
Golden-backed Whistler,Pachycephala aurea,Aves,Pachycephala,Pachycephalidae
Yellow-bellied Whistler,Pachycephala philippinensis,Aves,Pachycephala,Pachycephalidae
Bornean Whistler,Pachycephala hypoxantha,Aves,Pachycephala,Pachycephalidae
Sulphur-bellied Whistler,Pachycephala sulfuriventer,Aves,Pachycephala,Pachycephalidae
Mangrove Whistler,Pachycephala cinerea,Aves,Pachycephala,Pachycephalidae
Green-backed Whistler,Pachycephala albiventris,Aves,Pachycephala,Pachycephalidae
White-vented Whistler,Pachycephala homeyeri,Aves,Pachycephala,Pachycephalidae
Island Whistler,Pachycephala phaionota,Aves,Pachycephala,Pachycephalidae
Biak Whistler,Pachycephala melanorhyncha,Aves,Pachycephala,Pachycephalidae
Rusty Whistler,Pachycephala hyperythra,Aves,Pachycephala,Pachycephalidae
Grey Whistler,Pachycephala simplex,Aves,Pachycephala,Pachycephalidae
Wallacean Whistler,Pachycephala arctitorquis,Aves,Pachycephala,Pachycephalidae
Drab Whistler,Pachycephala griseonota,Aves,Pachycephala,Pachycephalidae
White-bellied Whistler,Pachycephala leucogastra,Aves,Pachycephala,Pachycephalidae
Black-headed Whistler,Pachycephala monacha,Aves,Pachycephala,Pachycephalidae
Rufous Whistler,Pachycephala rufiventris,Aves,Pachycephala,Pachycephalidae
White-breasted Whistler,Pachycephala lanioides,Aves,Pachycephala,Pachycephalidae
Hooded Pitohui,Pitohui dichrous,Aves,Pitohui,Oriolidae
Raja Ampat Pitohui,Pitohui cerviniventris,Aves,Pitohui,Oriolidae
Northern Variable Pitohui,Pitohui kirhocephalus,Aves,Pitohui,Oriolidae
Southern Variable Pitohui,Pitohui uropygialis,Aves,Pitohui,Oriolidae
Timor Oriole,Oriolus melanotis,Aves,Oriolus,Oriolidae
Wetar Oriole,Oriolus finschi,Aves,Oriolus,Oriolidae
Buru Oriole,Oriolus bouroensis,Aves,Oriolus,Oriolidae
Tanimbar Oriole,Oriolus decipiens,Aves,Oriolus,Oriolidae
Seram Oriole,Oriolus forsteni,Aves,Oriolus,Oriolidae
Halmahera Oriole,Oriolus phaeochromus,Aves,Oriolus,Oriolidae
Brown Oriole,Oriolus szalayi,Aves,Oriolus,Oriolidae
Olive-backed Oriole,Oriolus sagittatus,Aves,Oriolus,Oriolidae
Green Oriole,Oriolus flavocinctus,Aves,Oriolus,Oriolidae
Dark-throated Oriole,Oriolus xanthonotus,Aves,Oriolus,Oriolidae
Ventriloquial Oriole,Oriolus consobrinus,Aves,Oriolus,Oriolidae
White-lored Oriole,Oriolus albiloris,Aves,Oriolus,Oriolidae
Philippine Oriole,Oriolus steerii,Aves,Oriolus,Oriolidae
Isabela Oriole,Oriolus isabellae,Aves,Oriolus,Oriolidae
Eurasian Golden Oriole,Oriolus oriolus,Aves,Oriolus,Oriolidae
Indian Golden Oriole,Oriolus kundoo,Aves,Oriolus,Oriolidae
African Golden Oriole,Oriolus auratus,Aves,Oriolus,Oriolidae
Black-naped Oriole,Oriolus chinensis,Aves,Oriolus,Oriolidae
Slender-billed Oriole,Oriolus tenuirostris,Aves,Oriolus,Oriolidae
Green-headed Oriole,Oriolus chlorocephalus,Aves,Oriolus,Oriolidae
Sao Tome Oriole,Oriolus crassirostris,Aves,Oriolus,Oriolidae
Western Black-headed Oriole,Oriolus brachyrynchus,Aves,Oriolus,Oriolidae
Ethiopian Black-headed Oriole,Oriolus monacha,Aves,Oriolus,Oriolidae
African Black-headed Oriole,Oriolus larvatus,Aves,Oriolus,Oriolidae
Black-tailed Oriole,Oriolus percivali,Aves,Oriolus,Oriolidae
Black-winged Oriole,Oriolus nigripennis,Aves,Oriolus,Oriolidae
Black-hooded Oriole,Oriolus xanthornus,Aves,Oriolus,Oriolidae
Black Oriole,Oriolus hosii,Aves,Oriolus,Oriolidae
Black-and-crimson Oriole,Oriolus consanguineus,Aves,Oriolus,Oriolidae
Javan Oriole,Oriolus cruentus,Aves,Oriolus,Oriolidae
Maroon Oriole,Oriolus traillii,Aves,Oriolus,Oriolidae
Silver Oriole,Oriolus mellianus,Aves,Oriolus,Oriolidae
Wetar Figbird,Sphecotheres hypoleucus,Aves,Sphecotheres,Oriolidae
Green Figbird,Sphecotheres viridis,Aves,Sphecotheres,Oriolidae
Australasian Figbird,Sphecotheres vieilloti,Aves,Sphecotheres,Oriolidae
North Island Piopio,Turnagra tanagra,Aves,Turnagra,Oriolidae
South Island Piopio,Turnagra capensis,Aves,Turnagra,Oriolidae
Black-breasted Boatbill,Machaerirhynchus nigripectus,Aves,Machaerirhynchus,Machaerirhynchidae
Yellow-breasted Boatbill,Machaerirhynchus flaviventer,Aves,Machaerirhynchus,Machaerirhynchidae
Ashy Woodswallow,Artamus fuscus,Aves,Artamus,Artamidae
Fiji Woodswallow,Artamus mentalis,Aves,Artamus,Artamidae
Ivory-backed Woodswallow,Artamus monachus,Aves,Artamus,Artamidae
Great Woodswallow,Artamus maximus,Aves,Artamus,Artamidae
White-breasted Woodswallow,Artamus leucorynchus,Aves,Artamus,Artamidae
Bismarck Woodswallow,Artamus insignis,Aves,Artamus,Artamidae
Masked Woodswallow,Artamus personatus,Aves,Artamus,Artamidae
White-browed Woodswallow,Artamus superciliosus,Aves,Artamus,Artamidae
Black-faced Woodswallow,Artamus cinereus,Aves,Artamus,Artamidae
Dusky Woodswallow,Artamus cyanopterus,Aves,Artamus,Artamidae
Little Woodswallow,Artamus minor,Aves,Artamus,Artamidae
Mountain Peltops,Peltops montanus,Aves,Peltops,Artamidae
Lowland Peltops,Peltops blainvillii,Aves,Peltops,Artamidae
Black-backed Butcherbird,Cracticus mentalis,Aves,Cracticus,Artamidae
Grey Butcherbird,Cracticus torquatus,Aves,Cracticus,Artamidae
Silver-backed Butcherbird,Cracticus argenteus,Aves,Cracticus,Artamidae
Hooded Butcherbird,Cracticus cassicus,Aves,Cracticus,Artamidae
Tagula Butcherbird,Cracticus louisiadensis,Aves,Cracticus,Artamidae
Pied Butcherbird,Cracticus nigrogularis,Aves,Cracticus,Artamidae
Black Butcherbird,Melloria quoyi,Aves,Melloria,Artamidae
Australian Magpie,Gymnorhina tibicen,Aves,Gymnorhina,Artamidae
Pied Currawong,Strepera graculina,Aves,Strepera,Artamidae
Black Currawong,Strepera fuliginosa,Aves,Strepera,Artamidae
Grey Currawong,Strepera versicolor,Aves,Strepera,Artamidae
Mottled Berryhunter,Rhagologus leucostigma,Aves,Rhagologus,Rhagologidae
White-tailed Shrike,Lanioturdus torquatus,Aves,Lanioturdus,Platysteiridae
Chestnut Wattle-eye,Dyaphorophyia castanea,Aves,Dyaphorophyia,Platysteiridae
West African Wattle-eye,Dyaphorophyia hormophora,Aves,Dyaphorophyia,Platysteiridae
White-spotted Wattle-eye,Dyaphorophyia tonsa,Aves,Dyaphorophyia,Platysteiridae
Brown-throated Wattle-eye,Platysteira cyanea,Aves,Platysteira,Platysteiridae
White-fronted Wattle-eye,Platysteira albifrons,Aves,Platysteira,Platysteiridae
Black-throated Wattle-eye,Platysteira peltata,Aves,Platysteira,Platysteiridae
Banded Wattle-eye,Platysteira laticincta,Aves,Platysteira,Platysteiridae
Red-cheeked Wattle-eye,Platysteira blissetti,Aves,Platysteira,Platysteiridae
Black-necked Wattle-eye,Platysteira chalybea,Aves,Platysteira,Platysteiridae
Jameson's Wattle-eye,Platysteira jamesoni,Aves,Platysteira,Platysteiridae
Yellow-bellied Wattle-eye,Platysteira concreta,Aves,Platysteira,Platysteiridae
Boulton's Batis,Batis margaritae,Aves,Batis,Platysteiridae
Short-tailed Batis,Batis mixta,Aves,Batis,Platysteiridae
Dark Batis,Batis crypta,Aves,Batis,Platysteiridae
Rwenzori Batis,Batis diops,Aves,Batis,Platysteiridae
Cape Batis,Batis capensis,Aves,Batis,Platysteiridae
Malawi Batis,Batis dimorpha,Aves,Batis,Platysteiridae
Woodwards' Batis,Batis fratrum,Aves,Batis,Platysteiridae
Chinspot Batis,Batis molitor,Aves,Batis,Platysteiridae
Pale Batis,Batis soror,Aves,Batis,Platysteiridae
Pririt Batis,Batis pririt,Aves,Batis,Platysteiridae
Senegal Batis,Batis senegalensis,Aves,Batis,Platysteiridae
Grey-headed Batis,Batis orientalis,Aves,Batis,Platysteiridae
Western Black-headed Batis,Batis erlangeri,Aves,Batis,Platysteiridae
Eastern Black-headed Batis,Batis minor,Aves,Batis,Platysteiridae
Pygmy Batis,Batis perkeo,Aves,Batis,Platysteiridae
Verreaux's Batis,Batis minima,Aves,Batis,Platysteiridae
Ituri Batis,Batis ituriensis,Aves,Batis,Platysteiridae
Bioko Batis,Batis poensis,Aves,Batis,Platysteiridae
West African Batis,Batis occulta,Aves,Batis,Platysteiridae
Angola Batis,Batis minulla,Aves,Batis,Platysteiridae
White-crested Helmetshrike,Prionops plumatus,Aves,Prionops,Vangidae
Grey-crested Helmetshrike,Prionops poliolophus,Aves,Prionops,Vangidae
Yellow-crested Helmetshrike,Prionops alberti,Aves,Prionops,Vangidae
Red-billed Helmetshrike,Prionops caniceps,Aves,Prionops,Vangidae
Rufous-bellied Helmetshrike,Prionops rufiventris,Aves,Prionops,Vangidae
Retz's Helmetshrike,Prionops retzii,Aves,Prionops,Vangidae
Angola Helmetshrike,Prionops gabela,Aves,Prionops,Vangidae
Chestnut-fronted Helmetshrike,Prionops scopifrons,Aves,Prionops,Vangidae
African Shrike-flycatcher,Megabyas flammulatus,Aves,Megabyas,Vangidae
Black-and-white Shrike-flycatcher,Bias musicus,Aves,Bias,Vangidae
Malabar Woodshrike,Tephrodornis sylvicola,Aves,Tephrodornis,Vangidae
Large Woodshrike,Tephrodornis virgatus,Aves,Tephrodornis,Vangidae
Common Woodshrike,Tephrodornis pondicerianus,Aves,Tephrodornis,Vangidae
Sri Lanka Woodshrike,Tephrodornis affinis,Aves,Tephrodornis,Vangidae
Bar-winged Flycatcher-shrike,Hemipus picatus,Aves,Hemipus,Vangidae
Black-winged Flycatcher-shrike,Hemipus hirundinaceus,Aves,Hemipus,Vangidae
Rufous-winged Philentoma,Philentoma pyrhoptera,Aves,Philentoma,Vangidae
Maroon-breasted Philentoma,Philentoma velata,Aves,Philentoma,Vangidae
Archbold's Newtonia,Newtonia archboldi,Aves,Newtonia,Vangidae
Common Newtonia,Newtonia brunneicauda,Aves,Newtonia,Vangidae
Dark Newtonia,Newtonia amphichroa,Aves,Newtonia,Vangidae
Red-tailed Newtonia,Newtonia fanovanae,Aves,Newtonia,Vangidae
Tylas Vanga,Tylas eduardi,Aves,Tylas,Vangidae
Red-tailed Vanga,Calicalicus madagascariensis,Aves,Calicalicus,Vangidae
Red-shouldered Vanga,Calicalicus rufocarpalis,Aves,Calicalicus,Vangidae
Nuthatch-Vanga,Hypositta corallirostris,Aves,Hypositta,Vangidae
Chabert Vanga,Leptopterus chabert,Aves,Leptopterus,Vangidae
Crossley's Vanga,Mystacornis crossleyi,Aves,Mystacornis,Vangidae
Comoro Blue Vanga,Cyanolanius comorensis,Aves,Cyanolanius,Vangidae
Madagascar Blue Vanga,Cyanolanius madagascarinus,Aves,Cyanolanius,Vangidae
Hook-billed Vanga,Vanga curvirostris,Aves,Vanga,Vangidae
Ward's Flycatcher,Pseudobias wardi,Aves,Pseudobias,Vangidae
Rufous Vanga,Schetba rufa,Aves,Schetba,Vangidae
Helmet Vanga,Euryceros prevostii,Aves,Euryceros,Vangidae
Bernier's Vanga,Oriolia bernieri,Aves,Oriolia,Vangidae
Sickle-billed Vanga,Falculea palliata,Aves,Falculea,Vangidae
White-headed Vanga,Artamella viridis,Aves,Artamella,Vangidae
Pollen's Vanga,Xenopirostris polleni,Aves,Xenopirostris,Vangidae
Lafresnaye's Vanga,Xenopirostris xenopirostris,Aves,Xenopirostris,Vangidae
Van Dam's Vanga,Xenopirostris damii,Aves,Xenopirostris,Vangidae
Bornean Bristlehead,Pityriasis gymnocephala,Aves,Pityriasis,Pityriasidae
Common Iora,Aegithina tiphia,Aves,Aegithina,Aegithinidae
White-tailed Iora,Aegithina nigrolutea,Aves,Aegithina,Aegithinidae
Green Iora,Aegithina viridissima,Aves,Aegithina,Aegithinidae
Great Iora,Aegithina lafresnayei,Aves,Aegithina,Aegithinidae
Brubru,Nilaus afer,Aves,Nilaus,Malaconotidae
Northern Puffback,Dryoscopus gambensis,Aves,Dryoscopus,Malaconotidae
Pringle's Puffback,Dryoscopus pringlii,Aves,Dryoscopus,Malaconotidae
Black-backed Puffback,Dryoscopus cubla,Aves,Dryoscopus,Malaconotidae
Red-eyed Puffback,Dryoscopus senegalensis,Aves,Dryoscopus,Malaconotidae
Pink-footed Puffback,Dryoscopus angolensis,Aves,Dryoscopus,Malaconotidae
Sabine's Puffback,Dryoscopus sabini,Aves,Dryoscopus,Malaconotidae
Marsh Tchagra,Bocagia minuta,Aves,Bocagia,Malaconotidae
Black-crowned Tchagra,Tchagra senegalus,Aves,Tchagra,Malaconotidae
Brown-crowned Tchagra,Tchagra australis,Aves,Tchagra,Malaconotidae
Three-streaked Tchagra,Tchagra jamesi,Aves,Tchagra,Malaconotidae
Southern Tchagra,Tchagra tchagra,Aves,Tchagra,Malaconotidae
Red-naped Bushshrike,Laniarius ruficeps,Aves,Laniarius,Malaconotidae
Coastal Boubou,Laniarius nigerrimus,Aves,Laniarius,Malaconotidae
Lühder's Bushshrike,Laniarius luehderi,Aves,Laniarius,Malaconotidae
Braun's Bushshrike,Laniarius brauni,Aves,Laniarius,Malaconotidae
Gabela Bushshrike,Laniarius amboimensis,Aves,Laniarius,Malaconotidae
Turati's Boubou,Laniarius turatii,Aves,Laniarius,Malaconotidae
Ethiopian Boubou,Laniarius aethiopicus,Aves,Laniarius,Malaconotidae
Tropical Boubou,Laniarius major,Aves,Laniarius,Malaconotidae
Zanzibar Boubou,Laniarius sublacteus,Aves,Laniarius,Malaconotidae
Gabon Boubou,Laniarius bicolor,Aves,Laniarius,Malaconotidae
Southern Boubou,Laniarius ferrugineus,Aves,Laniarius,Malaconotidae
Yellow-crowned Gonolek,Laniarius barbarus,Aves,Laniarius,Malaconotidae
Black-headed Gonolek,Laniarius erythrogaster,Aves,Laniarius,Malaconotidae
Crimson-breasted Gonolek,Laniarius atrococcineus,Aves,Laniarius,Malaconotidae
Papyrus Gonolek,Laniarius mufumbiri,Aves,Laniarius,Malaconotidae
Yellow-breasted Boubou,Laniarius atroflavus,Aves,Laniarius,Malaconotidae
Slate-colored Boubou,Laniarius funebris,Aves,Laniarius,Malaconotidae
Lowland Sooty Boubou,Laniarius leucorhynchus,Aves,Laniarius,Malaconotidae
Willard's Sooty Boubou,Laniarius willardi,Aves,Laniarius,Malaconotidae
Western Boubou,Laniarius poensis,Aves,Laniarius,Malaconotidae
Albertine Boubou,Laniarius holomelas,Aves,Laniarius,Malaconotidae
Fülleborn's Boubou,Laniarius fuelleborni,Aves,Laniarius,Malaconotidae
Rosy-patched Bushshrike,Rhodophoneus cruentus,Aves,Rhodophoneus,Malaconotidae
Bokmakierie,Telophorus zeylonus,Aves,Telophorus,Malaconotidae
Four-colored Bushshrike,Telophorus viridis,Aves,Telophorus,Malaconotidae
Doherty's Bushshrike,Telophorus dohertyi,Aves,Telophorus,Malaconotidae
Grey-green Bushshrike,Chlorophoneus bocagei,Aves,Chlorophoneus,Malaconotidae
Sulphur-breasted Bushshrike,Chlorophoneus sulfureopectus,Aves,Chlorophoneus,Malaconotidae
Olive Bushshrike,Chlorophoneus olivaceus,Aves,Chlorophoneus,Malaconotidae
Many-colored Bushshrike,Chlorophoneus multicolor,Aves,Chlorophoneus,Malaconotidae
Black-fronted Bushshrike,Chlorophoneus nigrifrons,Aves,Chlorophoneus,Malaconotidae
Mount Kupe Bushshrike,Chlorophoneus kupeensis,Aves,Chlorophoneus,Malaconotidae
Fiery-breasted Bushshrike,Malaconotus cruentus,Aves,Malaconotus,Malaconotidae
Lagden's Bushshrike,Malaconotus lagdeni,Aves,Malaconotus,Malaconotidae
Green-breasted Bushshrike,Malaconotus gladiator,Aves,Malaconotus,Malaconotidae
Grey-headed Bushshrike,Malaconotus blanchoti,Aves,Malaconotus,Malaconotidae
Monteiro's Bushshrike,Malaconotus monteiri,Aves,Malaconotus,Malaconotidae
Uluguru Bushshrike,Malaconotus alius,Aves,Malaconotus,Malaconotidae
Drongo Fantail,Chaetorhynchus papuensis,Aves,Chaetorhynchus,Rhipiduridae
Cerulean Flycatcher,Eutrichomyias rowleyi,Aves,Eutrichomyias,Rhipiduridae
Taveuni Silktail,Lamprolia victoriae,Aves,Lamprolia,Rhipiduridae
